scan_id,room_label,location,noise_type,device_id,TotalUsedMem_d6_minus_d5_mean,TotalUsedMem_q2_std,TotalUsedMem_q3_std,TotalUsedMem_d6_min,TotalUsedMem_roll10_mean_std,TotalUsedMem_resid_std,TotalUsedMem_decile_mean_range,GpuUtil_q2_mean,TotalUsedMem_iqr,TotalUsedMem_range,TotalUsedMem_d8_minus_d7_mean,GpuUtil_d0_min,TotalUsedMem_half1_std,TotalUsedMem_d8_min,GpuUtil_p10,GpuUtil_d8_mean,TotalUsedMem_d7_min,GpuUtil_d2_min,TotalUsedMem_d7_std
hallway__Floor4HallwayInFrontOf4214__noise1__scan01,hallway,Floor4HallwayInFrontOf4214,1,2bfe9f80377e670fec89a36997162020,-528852.6666666567,246924.84891982705,92012.91928656738,144415980,202692.3731195579,173142.43031900594,712219.2444444597,0.2763434782608695,430188.0,1040539,177945.0,0.2668,218603.3518369461,144835056,0.2683,0.2767333333333333,144499080,0.269,137547.1988263943
hallway__Floor4HallwayInFrontOf4214__noise2__scan00,hallway,Floor4HallwayInFrontOf4214,2,2bfe9f80377e670fec89a36997162020,-530011.222222209,249631.177377652,65396.719663796015,144453138,166817.4605580366,181131.84416700283,664208.322222203,0.2823695652173912,265426.0,877827,85301.77777779102,0.2775,184604.3311291383,144621320,0.2693,0.2712333333333333,144537604,0.2773,22924.07892733461
hallway__Floor4HallwayInFrontOf4214__noise2__scan01,hallway,Floor4HallwayInFrontOf4214,2,2bfe9f80377e670fec89a36997162020,-517342.222222209,241889.780379396,83549.96900837001,144478680,170283.68509862715,177161.68783925622,688317.5111111104,0.3007695652173913,281521.0,863468,84560.66666665673,0.2863,182542.62384608787,144663524,0.2672,0.2985,144552478,0.2672,29414.25363390181
hallway__InFrontOfCEEDHallway__noise0__scan00,hallway,InFrontOfCEEDHallway,0,2bfe9f80377e670fec89a36997162020,-133676.44444444776,197167.7754385239,73776.2481651964,143543579,151495.3448270187,178108.263677415,513127.1888889074,0.2570652173913044,297423.5,740768,95211.44444444776,0.2638,173862.1984454341,143769044,0.255,0.2607666666666666,143682996,0.2536,24052.541025383947
hallway__InFrontOfCEEDHallway__noise0__scan01,hallway,InFrontOfCEEDHallway,0,2bfe9f80377e670fec89a36997162020,-115311.33333334328,203474.16257327623,141351.85169057877,143551860,154204.4493798195,187909.1261442372,533813.6888889074,0.2555695652173914,329792.0,742816,106247.11111113428,0.2574,201128.42767207223,143760996,0.2523,0.2556888888888888,143658660,0.2518,69527.83548734676
hallway__InFrontOfCEEDHallway__noise1__scan00,hallway,InFrontOfCEEDHallway,1,2bfe9f80377e670fec89a36997162020,-80514.22222220898,190744.6930402344,93328.55646634052,144592608,149237.93059126148,173627.97146309062,570512.0,0.2719565217391303,286375.0,784246,74801.22222223878,0.2697,168377.23147186902,144773654,0.2704,0.2746,144688192,0.2707,70878.2789325788
hallway__InFrontOfCEEDHallway__noise1__scan01,hallway,InFrontOfCEEDHallway,1,2bfe9f80377e670fec89a36997162020,-108892.33333331348,189384.05111092943,68823.6318762412,144504920,150240.9749045789,178000.9332574861,553297.9888888896,0.2737434782608695,266635.0,964658,88328.88888886571,0.2671,158513.57722466867,144691620,0.2682,0.2774777777777777,144603416,0.271,26714.05358723622
hallway__InFrontOfCEEDHallway__noise2__scan00,hallway,InFrontOfCEEDHallway,2,2bfe9f80377e670fec89a36997162020,-127329.77777776122,195726.75344647103,80972.29437712804,144480846,152151.29037061392,179300.55196912852,542408.0222222209,0.2626565217391304,293034.0,757948,71639.22222220898,0.2823,170325.80399309532,144676406,0.2587,0.2720666666666667,144585348,0.298,90689.07124774063
hallway__InFrontOfCEEDHallway__noise2__scan01,hallway,InFrontOfCEEDHallway,2,2bfe9f80377e670fec89a36997162020,-131723.22222220898,193165.21180644984,75638.15305582415,145175752,165915.7672514956,188656.8548917011,601089.0222222209,0.267795652173913,303684.0,824098,94072.0,0.2728,164209.25838834836,145354646,0.2662,0.2826888888888889,145277776,0.2773,21892.477343757
hallway__Outside3102__noise0__scan00,hallway,Outside3102,0,2bfe9f80377e670fec89a36997162020,-395919.66666665673,244594.06843908565,67992.86154930695,144287246,162203.47227372255,182338.5697278869,531993.4333333373,0.2715347826086957,266777.0,890799,66202.77777779102,0.2691,181753.84605680965,144464086,0.27,0.2736777777777777,144373920,0.2703,74992.95069406503
hallway__Outside3102__noise0__scan01,hallway,Outside3102,0,2bfe9f80377e670fec89a36997162020,-413355.44444444776,247553.6976433365,110964.59668514968,143554548,166325.9416791157,182294.95474584016,538494.9333333373,0.2693086956521739,323619.5,806928,129560.66666665672,0.2664,197419.46821375663,143722884,0.2667,0.2762222222222222,143636580,0.2678,27420.705623467988
hallway__Outside3102__noise1__scan00,hallway,Outside3102,1,2bfe9f80377e670fec89a36997162020,-438002.3333333135,264771.9153001768,100396.40744285531,144435614,181908.43983441996,204115.04145997865,616504.6222222149,0.287004347826087,301800.0,1045777,83856.66666665673,0.2806,202336.15531595552,144598408,0.2807,0.2844666666666666,144526512,0.2853,21081.827182038403
hallway__Outside3102__noise1__scan01,hallway,Outside3102,1,2bfe9f80377e670fec89a36997162020,-424680.0,253907.250082776,71935.7878524916,145135474,163902.08900317043,184103.59897436108,540356.777777791,0.2761739130434782,277520.0,809016,101012.22222223878,0.2757,189266.8268441053,145321880,0.2757,0.2762555555555555,145226456,0.2781,27890.906427244947
hallway__Outside3102__noise2__scan00,hallway,Outside3102,2,2bfe9f80377e670fec89a36997162020,-502278.0,264755.0049646891,67175.69597010649,145232112,170735.9565430762,190775.0060069272,610913.1333333552,0.2835695652173912,281492.0,849876,90641.66666665672,0.2695,195041.31204583557,145413768,0.2812,0.2812,145319730,0.3013,24138.85562969196
hallway__Outside3102__noise2__scan01,hallway,Outside3102,2,2bfe9f80377e670fec89a36997162020,-438362.1111111045,262731.3073136671,76507.93119428969,144901528,164078.84765091172,184044.6895415124,522786.4888888896,0.2722782608695651,276859.0,900155,100497.55555555224,0.2686,195792.28275893704,145072546,0.2697,0.2804111111111111,144985405,0.2746,24549.054133296177
hallway__Outside3410__noise0__scan00,hallway,Outside3410,0,2bfe9f80377e670fec89a36997162020,-307838.222222209,259913.4451241024,64117.04565302996,143907068,175310.18863205542,187441.0282121691,627867.9111111164,0.3007782608695651,270328.0,838960,76268.44444444776,0.3014,201034.0899107216,144013628,0.2999,0.3012333333333333,143939868,0.2999,21320.82003379749
hallway__Outside3410__noise0__scan01,hallway,Outside3410,0,2bfe9f80377e670fec89a36997162020,-330169.8888888657,273532.9751197539,79080.52540370502,144062356,180527.21847557407,195201.7213952776,648735.4666666687,0.2978565217391304,284584.0,861744,108861.22222223878,0.3007,210910.43289155167,144185780,0.2968,0.2981333333333333,144099444,0.2991,24281.077625728776
hallway__Outside3410__noise1__scan00,hallway,Outside3410,1,2bfe9f80377e670fec89a36997162020,-230561.77777779105,257991.2473564985,64944.56490285763,145070520,184923.60736938115,194427.3615118761,682916.0,0.3101272727272727,263528.5,897184,84426.44444444776,0.3081,200577.7197034852,145165216,0.3089,0.3132111111111111,145098076,0.3094,20835.57340490324
hallway__Outside3410__noise1__scan01,hallway,Outside3410,1,2bfe9f80377e670fec89a36997162020,-309603.33333334327,262245.19106716244,63766.80663017333,145137606,181243.1069605361,191759.3311888072,660812.177777797,0.3147826086956521,265227.0,874952,82353.77777776122,0.3135,202008.81089415168,145252402,0.3133,0.3175222222222222,145169218,0.3144,23587.132595946576
hallway__Outside3410__noise2__scan00,hallway,Outside3410,2,2bfe9f80377e670fec89a36997162020,-228618.22222220895,259583.5741374861,63819.42429488517,144824900,185048.62245645613,192498.6153594253,672266.6666666567,0.2660727272727272,255077.5,889190,79065.11111110449,0.262,202074.1153095646,144922296,0.26169,0.2704444444444445,144845722,0.264,22677.939686939037
hallway__Outside3410__noise2__scan01,hallway,Outside3410,2,2bfe9f80377e670fec89a36997162020,-234454.3333333135,262043.13604996965,65838.52941555808,145163288,183578.4873567357,193266.67561960145,660676.1111111045,0.2707454545454545,273741.5,882701,86111.77777776122,0.263,203622.00614650885,145269648,0.2639,0.2644,145183958,0.2998,21754.480184522115
kitchen__CEEDKitchen__noise0__scan00,kitchen,CEEDKitchen,0,2bfe9f80377e670fec89a36997162020,116026.33333331348,100252.95381616335,340938.1125963635,144981964,283545.48945631937,252592.13906216843,808380.444444418,0.3257652173913042,480544.0,1038279,-141743.22222220898,0.3235,258215.33373015595,144552492,0.3229,0.3255,145137548,0.3226,31067.18666867299
kitchen__CEEDKitchen__noise0__scan01,kitchen,CEEDKitchen,0,2bfe9f80377e670fec89a36997162020,140472.8888888955,104306.60457909852,317752.59147712664,144963636,279891.81980694004,237418.9704133288,809856.0,0.3231652173913044,457728.0,1058336,-142469.33333334327,0.3265,239385.014650293,144523588,0.323,0.3246222222222222,145117348,0.3249,32786.36098241365
kitchen__CEEDKitchen__noise1__scan00,kitchen,CEEDKitchen,1,2bfe9f80377e670fec89a36997162020,137838.8888888657,105367.7714899038,332298.8798396497,146401040,285754.0807690901,240866.0193317452,811427.3333333433,0.3452826086956522,466512.0,1065628,-50971.77777779102,0.3376,246909.73108471025,145999960,0.3398,0.343,146560358,0.3474,36280.93513570161
kitchen__CEEDKitchen__noise1__scan01,kitchen,CEEDKitchen,1,2bfe9f80377e670fec89a36997162020,165024.66666665673,112437.15279829672,350185.3437968614,146445616,314623.23713509203,252776.770013161,872010.4444444478,0.3483,502600.0,1329139,22749.88888889551,0.3442,259086.03326427555,146056428,0.3448,0.3496666666666667,146598252,0.3455,33915.29884146936
kitchen__CEEDKitchen__noise2__scan00,kitchen,CEEDKitchen,2,2bfe9f80377e670fec89a36997162020,144000.44444444776,108331.172666699,316433.8449355999,146183668,291633.143041178,237218.2537829807,840767.7777777612,0.3217608695652174,445491.0,1139136,-134645.55555555224,0.3012,239143.96631675784,145787440,0.2996,0.3012666666666667,146342676,0.3214,34076.819361228205
kitchen__CEEDKitchen__noise2__scan01,kitchen,CEEDKitchen,2,2bfe9f80377e670fec89a36997162020,144305.6666666865,109782.89864793394,335604.3780062451,146438412,290106.74627869105,243234.2260048804,808274.0,0.3379391304347826,469111.0,1094416,-51502.0,0.2999,250156.9621186005,146036486,0.3017,0.3095111111111111,146601844,0.3035,35249.78266424551
kitchen__Floor2Kitchen__noise0__scan00,kitchen,Floor2Kitchen,0,2bfe9f80377e670fec89a36997162020,147985.77777779102,105762.83221772456,198414.99199555215,145973532,255352.4584883134,247540.38283491592,860459.3777777851,0.3174826086956521,412128.0,1207400,-512088.8888888657,0.3212,263352.81075863057,145462748,0.3173,0.3173999999999999,145454364,0.3188,295718.9822306907
kitchen__Floor2Kitchen__noise0__scan01,kitchen,Floor2Kitchen,0,2bfe9f80377e670fec89a36997162020,145968.0,105956.132428394,197333.9810764517,145800820,251514.68512587543,237631.527188546,802384.5333333313,0.3235086956521739,399196.5,1058272,-510960.777777791,0.3239,262046.29796773617,145302580,0.3187,0.3185444444444444,145294228,0.3238,293784.2964818883
kitchen__Floor2Kitchen__noise1__scan00,kitchen,Floor2Kitchen,1,2bfe9f80377e670fec89a36997162020,145650.22222220898,106491.16152218476,189735.82019874285,146678894,248670.64594054772,223766.69982927947,796333.9111111164,0.337086956521739,374827.0,1059612,-478110.0,0.3294,241483.2230249475,146219774,0.3305,0.3419777777777777,146213560,0.3305,277853.4843546145
kitchen__Floor2Kitchen__noise1__scan01,kitchen,Floor2Kitchen,1,2bfe9f80377e670fec89a36997162020,150274.22222220898,116955.86391129046,193772.98843091715,146780418,255737.3551820768,230960.84038485904,813793.2555555403,0.3346521739130434,393597.0,1186429,-461565.1111111045,0.3284,249341.84573626705,146328920,0.3305,0.3406444444444444,146317574,0.3305,281097.15754749987
kitchen__Floor2Kitchen__noise2__scan00,kitchen,Floor2Kitchen,2,2bfe9f80377e670fec89a36997162020,145784.8888888955,106489.18163514664,186741.7718935044,146440496,249185.2469133061,227736.4826218751,797296.5111111104,0.3221391304347827,376755.0,1060750,-479500.0,0.2899,244640.0158396268,145968648,0.2899,0.3028333333333333,145965816,0.2825,277698.30761928903
kitchen__Floor2Kitchen__noise2__scan01,kitchen,Floor2Kitchen,2,2bfe9f80377e670fec89a36997162020,154400.0,110557.26807430132,198679.28222131063,146764422,256791.7459260309,240929.4094373081,844931.9444444478,0.2835260869565217,398956.0,1151062,-507818.6666666865,0.2958,260804.4491441901,146261400,0.2813,0.2929555555555556,146249404,0.2976,298175.8156613868
kitchen__Floor3Kitchen__noise0__scan00,kitchen,Floor3Kitchen,0,2bfe9f80377e670fec89a36997162020,146368.0,106067.47665487262,262554.8022994674,145026140,286171.2202009813,254032.43227909936,1046079.8333333432,0.2691217391304349,408976.0,1141864,-677706.6666666865,0.2731,263614.6182068395,144535196,0.2692,0.2711,145186268,0.2722,34480.09198234702
kitchen__Floor3Kitchen__noise0__scan01,kitchen,Floor3Kitchen,0,2bfe9f80377e670fec89a36997162020,127004.0,107548.83772701124,246113.4257258478,145000371,261750.8844758752,252276.10232204013,858174.7555555403,0.3190434782608696,431875.5,1095728,-628387.5555555522,0.3211,282701.0710877184,144463980,0.319,0.3207666666666666,144459884,0.3197,235282.85376972263
kitchen__Floor3Kitchen__noise1__scan00,kitchen,Floor3Kitchen,1,2bfe9f80377e670fec89a36997162020,154674.6666666865,111806.90275777847,222192.7922717581,145914888,257288.9609172712,229106.3457188199,844467.3555555642,0.3526826086956522,394998.0,1139972,-556124.8888888955,0.341,242968.8320916253,145468612,0.341,0.3543111111111111,145463504,0.341,210940.4545400911
